Word,Hindi Meaning
of,का
and,तथा
to,प्रति
in,में
i,मैं
that,वह
was,था
his,उसके
he,वह
it,यह
with,साथ
is,है
for,के लिये
as,जैसा
had,था
you,तुम
not,नहीं
be,होना
her,उसकी
on,पर
at,पर
by,द्वारा
which,कौन सा
have,पास होना
or,या
from,से
this,यह
him,उसे
but,लेकिन
all,सब
she,वह
they,वे
were,थे
my,मेरे
are,हैं
me,मुझे
one,एक
their,उनका
so,इसलिए
an,एक
said,कहा
them,उन्हें
we,हम
who,कौन
would,चाहेंगे
been,गया
will,मर्जी
no,नहीं
when,जब
there,वहां
if,यदि
more,अधिक
out,बाहर
up,यूपी
into,में
do,करना
any,कोई
your,आपका
what,क्या
has,है
man,आदमी
could,सकता है
other,अन्य
than,बजाय
our,हमारी
some,कुछ
very,बहुत
time,समय
upon,ऊपर
about,के बारे में
may,मई
its,इसका
only,केवल
now,अभी व
like,पसंद करना
little,थोड़ा
then,फिर
can,कर सकते हैं
should,चाहिए
made,बनाया गया
did,किया
us,हम
such,ऐसा
a,एक
great,महान
before,इससे पहले
must,ज़रूरी
two,दो
these,इन
see,देखना
know,जानना
over,ऊपर
much,अधिकता
down,नीचे
after,बाद में
first,पहला
Mr,श्री
good,अच्छा
men,पुरुषों
own,अपना
never,कभी नहीँ
most,अधिकांश
old,पुराना
shall,करेगा
day,दिन
where,कहाँ पे
those,वे
came,आया
come,आइए
himself,वह स्वयं
way,मार्ग
work,काम
life,जिंदगी
without,बिना
go,जाओ
make,बनाना
well,कुंआ
through,के माध्यम से
being,प्राणी
long,लंबा
say,कहो
might,ताकत
how,कैसे
am,पूर्वाह्न
too,बहुत
even,यहाँ तक की
def,डीईएफ़
again,फिर से
many,बहुत सा
back,पीछे
here,यहां
think,सोच
every,हर एक
people,लोग
went,चला गया
same,वही
last,अंतिम
thought,सोच
away,दूर
under,नीचे
take,लेना
found,मिल गया
hand,हाथ
eyes,आँखें
still,फिर भी
place,स्थान
while,जबकि
just,अभी-अभी
also,भी
young,युवा
yet,अभी तक
though,यद्यपि
