Word,Hindi Meaning
and,तथा
to,प्रति
in,में
i,मैं
that,वह
was,था
his,उसके
he,वह
it,यह
with,साथ
is,है
for,के लिये
as,जैसा
had,था
you,तुम
not,नहीं
her,उसकी
on,पर
at,पर
by,द्वारा
which,कौन सा
or,या
from,से
this,यह
him,उसे
all,सब
she,वह
they,वे
were,थे
my,मेरे
are,हैं
one,एक
so,इसलिए
an,एक
said,कहा
them,उन्हें
we,हम
who,कौन
would,चाहेंगे
been,गया
will,मर्जी
no,नहीं
when,जब
there,वहां
if,यदि
more,अधिक
out,बाहर
up,यूपी
into,में
do,करना
any,कोई
your,आपका
what,क्या
has,है
man,आदमी
could,सकता है
other,अन्य
than,बजाय
our,हमारी
very,बहुत
time,समय
upon,ऊपर
about,के बारे में
may,मई
its,इसका
only,केवल
now,अभी व
like,पसंद करना
then,फिर
can,कर सकते हैं
should,चाहिए
did,किया
us,हम
such,ऐसा
great,महान
must,ज़रूरी
two,दो
these,इन
know,जानना
over,ऊपर
much,अधिकता
down,नीचे
after,बाद में
first,पहला
good,अच्छा
men,पुरुषों
own,अपना
never,कभी नहीँ
most,अधिकांश
old,पुराना
shall,करेगा
day,दिन
where,कहाँ पे
those,वे
came,आया
come,आइए
himself,वह स्वयं
way,मार्ग
work,काम
life,जिंदगी
go,जाओ
make,बनाना
well,कुंआ
through,के माध्यम से
being,प्राणी
say,कहो
might,ताकत
how,कैसे
am,पूर्वाह्न
too,बहुत
even,यहाँ तक की
def,डीईएफ़
again,फिर से
back,पीछे
here,यहां
every,हर एक
people,लोग
went,चला गया
same,वही
last,अंतिम
thought,सोच
away,दूर
under,नीचे
take,लेना
found,मिल गया
eyes,आँखें
still,फिर भी
place,स्थान
while,जबकि
just,अभी-अभी
young,युवा
yet,अभी तक
though,यद्यपि
against,के खिलाफ
ever,कभी
give,देना
god,परमेश्वर
years,वर्षों
off,बंद
face,चेहरा
nothing,कुछ नहीं
right,सही
once,एक बार
another,दूसरा
left,बाएं
part,अंश
saw,देखा
house,मकान
world,दुनिया
head,सिर
three,तीन
took,ले लिया
new,नया
love,प्यार
always,हमेशा
put,रखना
night,रात
each,प्रत्येक
king,राजा
between,के बीच
tell,बताना
mind,मन
because,इसलिये
thing,चीज़
whom,किसको
far,दूर
seemed,प्रतीत हुआ
looked,देखा
called,बुलाया
whole,पूरे
de,डे
set,समूह
both,दोनों
got,प्राप्त
find,पाना
done,किया हुआ
heard,सुना
look,देखना
name,नाम
days,दिन
told,कहा
let,होने देना
lord,भगवान
asked,पूछा
going,जा रहा है
better,बेहतर
p,पी
having,रखना
side,पक्ष
something,कुछ
moment,पल
father,पिता
among,के बीच
course,पाठ्यक्रम
hands,हाथ
enough,पर्याप्त
words,शब्दों
soon,जल्द ही
end,समाप्त
gave,दिया
room,कमरा
almost,लगभग
small,छोटा
thou,तुम
cannot,नही सकता
water,पानी
want,चाहते हैं
however,हालांकि
light,रोशनी
quite,पूर्णतया
brought,लाया
nor,न
word,शब्द
whose,किसका
given,दिया गया
door,द्वार
best,श्रेष्ठ
turned,बदल गया
taken,लिया
does,करता है
use,उपयोग
morning,प्रभात
myself,खुद
felt,अनुभूत
until,तक
since,जबसे
power,शक्ति
themselves,खुद
used,उपयोग किया गया
rather,बल्कि
began,शुरू किया
voice,आवाज़
others,अन्य
white,सफेद
works,काम करता है
less,कम
money,पैसे
next,अगला
poor,गरीब
death,मौत
form,प्रपत्र
together,साथ में
till,तक
thy,तेरा
large,विशाल
matter,मामला
kind,मेहरबान
often,अक्सर
certain,निश्चित
herself,स्वयं
year,साल
friend,दोस्त
half,आधा
order,गण
round,गोल
TRUE,सच
anything,कुछ भी
keep,रखना
sent,भेजा गया
wife,बीवी
means,साधन
believe,मानना
passed,उत्तीर्ण
feet,पैर
near,पास
state,राज्य
son,बेटा
hundred,सौ
children,बच्चे
thus,इस प्रकार
hope,आशा
alone,अकेला
above,के ऊपर
case,मामला
dear,प्रिय
thee,तेरा
says,कहते हैं
person,व्यक्ति
high,उच्च
read,पढ़ना
city,शहर
already,पहले से ही
received,प्राप्त किया
fact,तथ्य
gone,चला गया
girl,लड़की
hear,सुनो
times,बार
least,कम से कम
perhaps,शायद
sure,ज़रूर
indeed,वास्तव में
english,अंग्रेज़ी
open,खोलना
itself,अपने आप
along,साथ-साथ
land,भूमि
return,वापसी
leave,छुट्टी
nature,प्रकृति
answered,जवाब
either,या
law,कानून
lay,धूल में मिलना
point,बिंदु
child,बच्चा
letter,पत्र
four,चार
wish,तमन्ना
fire,आग
cried,रोया
women,औरत
speak,बोलना
number,संख्या
therefore,इसलिए
hour,घंटा
friends,दोस्त
held,आयोजित
free,नि: शुल्क
war,युद्ध
during,दौरान
several,कई
business,व्यापार
whether,या
er,एर
manner,तौर-तरीका
reason,कारण
replied,ने उत्तर दिया
united,संयुक्त
call,बुलाना
general,सामान्य
why,क्यों
behind,पीछे
became,बन गया
john,जॉन
become,बनना
dead,मृत
earth,धरती
boy,लड़का
